address,speedy
0x00fe54ee830fa3ec632dfe73df564c41a8d21ead,882352.9412
0x0103dde3820f04b9ca4a79de02e28c520c50ca2d,882352.9412
0x01053e25dfb369bf156bba3efd6342e45dac6a7e,882352.9412
0x01068a5cfb04d6b735d5235c734ea69bec4f54c1,882352.9412
0x0106bf0e4ad9722382400cbad6bfbf7a04bcc276,882352.9412
0x0109116b6e7756ba2c4929040b24268387e90fdf,882352.9412
0x010a7f5da18cd19b78e1c6993516cd1c11d81ccf,882352.9412
0x011da8f657d6042862541bf635a7665d77e5ff93,882352.9412
0x011f32754e2c9954b8458340ba2d4c90c43898e8,882352.9412
0x011fcb97ab652824ac43c163c8a756281620a5ba,882352.9412
0x0127d876ae83527904306f6500b55079442cb209,882352.9412
0x01356edae29585b6e47b084d40fa57ed01915b3f,882352.9412
0x0137d509f21dfea2597213de145a7a1ef5128ff1,882352.9412
0x013cb886cda1cd63b634f3ac74b469c0c740bdd4,882352.9412
0x014044b717c7b9d41e4493d86dc1bb7a1cafa6a0,882352.9412
0x014abdf39c0fa33552e5882be62d4b07ffeb62b2,882352.9412
0x0151adbd4f7df453c091f83863655be0adac8d7f,882352.9412
0x0152bab4c78cf3254afc7b17c0a0dcbcdfa31104,882352.9412
0x015cf9bcd380247db153e206941e450c23c642a8,9375000
0x0160d627883d9adb1745f4d4dec073cc8ca4b13a,882352.9412
0x016620785d66e2621372dc10c195a57eea24a796,882352.9412
0x01703a1d422f7555358f5bb6318f8580cb0e54bf,9375000
0x0174fcad4e931150dd67dc05895a4e3caf177c39,12538891.51
0x0181ea5fb7fa5d6141ce9a702022ce24e5745cd3,882352.9412
0x018473dc8a7586e14500575eac1ccc3f1cba1eb4,882352.9412
0x0187cd7fa0f5f10661e12be1538611de29bc6f77,882352.9412
0x01974549c9b9a30d47c548a16b120b1caa7b586c,9375000
0x0197a917f6f36c8bbc334ed31043d125f035fb6c,882352.9412
0x0197c428b22598358aa3ad5731a948660ecae35a,882352.9412
0x01b659474f79738137d211e3062263b40feee425,882352.9412
0x01b87bff5485bffd07a62d9cda02af4354362162,882352.9412
0x01c5e34131f8f8075b07806b2362abdcdca1d490,882352.9412
0x01c8fa1d31200029192c964f7d283eb6e3198b4f,882352.9412
0x01d2b1c8b141fbf8320d3195d15212bf5f85d048,949500.4012
0x01d40ac3b0f2c13b34d0746354dcd98327b8e377,882352.9412
0x01d454c5031db6c52a911e116e6a23a6d8889119,882352.9412
0x01ddf0b53a928ebc5981148eb08a748f1e925731,882352.9412
0x01de1bc363f870d1d7b6ef735eb9df9f06817fbe,9375000
0x01e7e537f59d74a42908a13062580c69f8bb209b,9375000
0x01ef020db8332082194dc0499a60adc6613e78e9,882352.9412
0x01f1f765c36f6c8ba9e5e621e7edf57220130e02,882352.9412
0x01f985975e4d7737d8662d5dd977861cdbb1e6ee,882352.9412
0x020585720eceac1a9ab7b1a5b089f2cb2486abb2,882352.9412
0x020a7e11de35134a6c6bed22a0c587bd62771b54,882352.9412
0x0218a2cc5f3ea9334d48a2c0d8e638705f4a85fb,882352.9412
0x0230372cb2ce2c80f5abca63e29ee3cee9427184,882352.9412
0x023234656d0c392c955965ed34e5b4862ffd1574,9375000
0x0236d1dd2bd90a085aaad58dd4a2de06270810d2,882352.9412
0x023a281a7e807b1105d29de970990bb1daadfb2c,882352.9412
0x0245a297328e568f5e8ff8dd13a2b976c9ffade0,882352.9412
0x024756751d0d90606a47965b09277bc8329767cb,882352.9412
0x02607efc907c8912664a5177c7598a83f923d385,882352.9412
0x02608d35121db289427f6fd4fa53e93b5cae0bdf,62500000
0x0264dc4c9b646d1bcea240f1b41bc3ab6982f512,882352.9412
0x026bfc7b401302a5723e766a3cfd3712a48945c0,882352.9412
0x026c2705c8d76613e897cb8b2c93d26221f2c12b,882352.9412
0x027f1c244073e6d97e9f65ce166c4b3f9d694923,882352.9412
0x02838f4e1fd12b00086fc87ab66ba3a318c79a7f,882352.9412
0x028705d69fe9c8512fd6686cf200acf0b4510f7b,882352.9412
0x0296cd430220b8cb54472c48e08f203316c49d62,882352.9412
0x0297fa08f174153a5e2fdb362013aedcd2972f5d,882352.9412
0x02999b8d203a66669ce4fd9301137521f1242251,882352.9412
0x02a00eec51eec461c8d19faa18a35c87929d3a0e,882352.9412
0x02ae3ed7cd2a460f0602b9c8b072d6233f19c4f0,882352.9412
0x02afe5211cd9731b2e65bfc7857e73bda234f6d3,882352.9412
0x02b5390affe15e1abb177a82202bc15c58b5be6e,882352.9412
0x02bc58ddfe4f8ec24c7cf5e887cea32566186fdb,882352.9412
0x02bdea0443b21ab2ab1edd3425dc77ea53736cd6,882352.9412
0x02c8604814077f569290115964aa6ac562a5db39,882352.9412
0x02cb7640515398f6484640f9a7def56f531e521d,882352.9412
0x02cf3ac661f0e3ec0f5c7df1fa97e1b65713b512,882352.9412
0x02d056c2676b3cadf519dd77cc6f9e7460807e1b,9375000
0x02d10f41f3a88614c63f718272c60da7bf37a53e,882352.9412
0x02d3f0aab4777af1fbff2a8446a40eb8d0f44d2c,882352.9412
0x02d4f83baac0a4fa0a3feea60f3e51beb09bc102,882352.9412
0x02d5909ec5a4aaf321b8b96e44005f8d03a7161a,949500.4012
0x02da6e2cbcc167182f7e3fcc9ec05d916de78f3e,9375000
0x02dcf283362f34354ce58cd0c7f197d828240b79,9375000
0x02e2e3517fe22554cbebfad9e5186cbb46ca363d,882352.9412
0x02e5df6adacb3e583c22106c679715d3d0d75963,882352.9412
0x02ec91362a3e3753b25dac585d5986e376f187bf,87445.41072
0x02f70e83a0ff093becff95ae5c3df2eb2c16562f,882352.9412
0x0300237b5b7ad7e13df4cb77ae32db7b3dc60f76,882352.9412
0x0308a4ce255663e15fe9986f7ab43de8bb397397,882352.9412
0x0308a9b0feb85b374b61cc4f9fe4651154ea4a2b,882352.9412
0x030afd86ac470804b3534be0fba31ab597b49b32,9375000
0x030dc63c732230fed2ba7debfecfe1491373cc90,882352.9412
